full_address,MAR_MATCHADDRESS,MAR_XCOORD,MAR_YCOORD,MAR_LATITUDE,MAR_LONGITUDE,MAR_WARD,MAR_CENSUS_TRACT,MAR_ZIPCODE,MARID,MAR_ERROR,MAR_SCORE,MAR_SOURCEOPERATION,MAR_IGNORE
2019 19TH STREET NW,2019 19TH STREET NW,396185.15,138866.52,38.91765939,-77.04398922,Ward 1,4002,20009,235530,,100,DC Address,
1614 BELMONT STREET NW,1614 BELMONT STREET NW,396703.35,139079.23,38.91957764,-77.03801485,Ward 1,3800,20009,226029,,100,DC Address,
1616 BELMONT STREET NW,1616 BELMONT STREET NW,396693.81,139073.6,38.91952689,-77.03812483,Ward 1,3800,20009,226030,,100,DC Address,
1618 BELMONT STREET NW,1618 BELMONT STREET NW,396680.09,139068.17,38.91947792,-77.03828302,Ward 1,3800,20009,226031,,100,DC Address,
1620 BELMONT STREET NW,1620 BELMONT STREET NW,396668.28,139065.02,38.9194495,-77.03841919,Ward 1,3800,20009,238120,,100,DC Address,
1622 BELMONT STREET NW,1622 BELMONT STREET NW,396655.63,139063.36,38.9194345,-77.03856505,Ward 1,3800,20009,226068,,100,DC Address,
1624 BELMONT STREET NW,1624 BELMONT STREET NW,396644.83,139060.63,38.91940987,-77.03868958,Ward 1,3800,20009,226069,,100,DC Address,
1700 KALORAMA ROAD NW,1700 KALORAMA ROAD NW,396607.47,139227.85,38.9209161,-77.03912121,Ward 1,3800,20009,218407,,100,DC Address,
2431 ONTARIO ROAD NW,2431 ONTARIO ROAD NW,396535.61,139398.7,38.92245489,-77.03995073,Ward 1,3800,20009,235747,,100,DC Address,
1623 LANIER PLACE NW,1623 LANIER PLACE NW,396575.43,139841.99,38.92644834,-77.03949375,Ward 1,3900,20009,226297,,100,DC Address,
1750 HARVARD STREET NW,1750 HARVARD STREET NW,396451.27,139892.86,38.9269061,-77.04092588,Ward 1,3900,20009,238054,,100,DC Address,
