full_address,MAR_MATCHADDRESS,MAR_XCOORD,MAR_YCOORD,MAR_LATITUDE,MAR_LONGITUDE,MAR_WARD,MAR_CENSUS_TRACT,MAR_ZIPCODE,MARID,MAR_ERROR,MAR_SCORE,MAR_SOURCEOPERATION,MAR_IGNORE
1907 GOOD HOPE ROAD SE,1907 GOOD HOPE ROAD SE,402002.58,132926.08,38.86415169,-76.97692547,Ward 8,7504,20020,145293,,100,DC Address,
2100 FENDALL STREET SE,2100 FENDALL STREET SE,401716.72,132871.69,38.86366232,-76.9802194,Ward 8,7504,20020,289824,,100,DC Address,
4000 E STREET SE,4000 E STREET SE,404640,135032.31,38.88311549,-76.94652184,Ward 7,7703,20019,145830,,100,DC Address,
4002 E STREET SE,4002 E STREET SE,404635.75,135048,38.88325685,-76.94657072,Ward 7,7703,20019,146381,,100,DC Address,
4004 E STREET SE,4004 E STREET SE,404650.64,135053.58,38.88330704,-76.94639907,Ward 7,7703,20019,145831,,100,DC Address,
2119 SUITLAND TERRACE SE,2119 SUITLAND TERRACE SE,404393.55,132814.68,38.86313946,-76.94937646,Ward 7,7603,20020,145393,,100,DC Address,
2117 SUITLAND TERRACE SE,2117 SUITLAND TERRACE SE,404404.96,132816.18,38.86315291,-76.94924499,Ward 7,7603,20020,145392,,100,DC Address,
2115 SUITLAND TERRACE SE,2115 SUITLAND TERRACE SE,404413.64,132826.83,38.86324881,-76.9491449,Ward 7,7603,20020,145426,,100,DC Address,
2113 SUITLAND TERRACE SE,2113 SUITLAND TERRACE SE,404424.19,132835.64,38.86332812,-76.94902329,Ward 7,7603,20020,145422,,100,DC Address,
2014 FORT DAVIS STREET SE,2014 FORT DAVIS STREET SE,404325.56,132906.54,38.86396731,-76.95015928,Ward 7,7603,20020,145465,,100,DC Address,
2008 FORT DAVIS STREET SE,2008 FORT DAVIS STREET SE,404365.57,132921.37,38.8641007,-76.94969818,Ward 7,7603,20020,145470,,100,DC Address,
2002 FORT DAVIS STREET SE,2002 FORT DAVIS STREET SE,404330.27,132945.03,38.86431402,-76.95010477,Ward 7,7603,20020,145274,,100,DC Address,
3901 PENNSYLVANIA AVENUE SE,3901 PENNSYLVANIA AVENUE SE,404358.4,132984.85,38.86467259,-76.94978039,Ward 7,7603,20020,145796,,100,DC Address,
3903 PENNSYLVANIA AVENUE SE,3903 PENNSYLVANIA AVENUE SE,404366.61,132980.97,38.8646376,-76.94968582,Ward 7,7603,20020,145301,,100,DC Address,
3905 PENNSYLVANIA AVENUE SE,3905 PENNSYLVANIA AVENUE SE,404370.29,132967.37,38.86451507,-76.9496435,Ward 7,7603,20020,145307,,100,DC Address,
3907 PENNSYLVANIA AVENUE SE,3907 PENNSYLVANIA AVENUE SE,404377.08,132953.02,38.86438576,-76.94956535,Ward 7,7603,20020,145290,,100,DC Address,
210 43RD ROAD NE,210 43RD ROAD NE,405138.33,136139.27,38.89308463,-76.94077008,Ward 7,7803,20019,145704,,100,DC Address,
200 43RD ROAD NE,200 43RD ROAD NE,405127.51,136118.23,38.89289515,-76.94089496,Ward 7,7803,20019,53303,,100,DC Address,
4208 BENNING ROAD NE,4208 BENNING ROAD NE,405015.02,136133.05,38.89302931,-76.94219153,Ward 7,7803,20019,25469,,100,DC Address,
948 EASTERN AVENUE NE,948 EASTERN AVENUE NE,406676.99,137266.7,38.90323058,-76.92302288,Ward 7,7807,20019,82870,,100,DC Address,
622 EASTERN AVENUE NE,622 EASTERN AVENUE NE,407285.13,136658.89,38.89775038,-76.91601825,Ward 7,7807,20019,146371,,100,DC Address,
601 58TH STREET NE,601 58TH STREET NE,407150.44,136617.9,38.89738224,-76.91757136,Ward 7,7807,20019,5731,,100,DC Address,
612 EASTERN AVENUE NE,612 EASTERN AVENUE NE,407303.66,136640.29,38.89758267,-76.91580484,Ward 7,7807,20019,4674,,100,DC Address,
320 61ST STREET NE,320 61ST STREET NE,407466.05,136218.57,38.8937823,-76.91393742,Ward 7,7808,20019,306156,,100,DC Address,
4950 CALL PLACE SE,4950 CALL PLACE SE,405955.05,135232.91,38.88491465,-76.93136354,Ward 7,9904,20019,304672,,100,DC Address,
4732 BENNING ROAD SE,4732 BENNING ROAD SE,405769.32,135003.84,38.88285233,-76.93350614,Ward 7,9904,20019,17679,,100,DC Address,
1205 MORSE STREET NE,1205 MORSE STREET NE,400939.93,137266.87,38.90325697,-76.98916381,Ward 5,8802,20002,72019,,100,DC Address,
1227 MORSE STREET NE,1227 MORSE STREET NE,400992.61,137240.79,38.90302197,-76.98855652,Ward 5,8802,20002,285953,,100,DC Address,
1014 FLORIDA AVENUE NE,1014 FLORIDA AVENUE NE,400676.99,137336.75,38.90388672,-76.9921951,Ward 5,8802,20002,75754,,100,DC Address,
1138 FLORIDA AVENUE NE,1138 FLORIDA AVENUE NE,400840.94,137239.28,38.90300853,-76.99030507,Ward 5,8802,20002,73076,,100,DC Address,
1018 FLORIDA AVENUE NE,1018 FLORIDA AVENUE NE,400687.61,137325.99,38.90378944,-76.99207268,Ward 5,8802,20002,75469,,100,DC Address,
1151 MORSE STREET NE,1151 MORSE STREET NE,400795.59,137348.64,38.90399373,-76.99082777,Ward 5,8802,20002,72670,,100,DC Address,
1123 MORSE STREET NE,1123 MORSE STREET NE,400725.62,137384.87,38.90432016,-76.99163441,Ward 5,8802,20002,73577,,100,DC Address,
1354 QUEEN STREET NE,1354 QUEEN STREET NE,401521.9,137491.45,38.90527925,-76.98245394,Ward 5,8804,20002,66024,,100,DC Address,
423 18TH STREET NE,423 18TH STREET NE,401845.58,136400.13,38.89544763,-76.97872516,Ward 6,7901,20002,24763,,100,DC Address,
1840 D STREET NE,1840 D STREET NE,401939.25,136344.4,38.89494539,-76.97764554,Ward 6,7901,20002,54845,,100,DC Address,
412 19TH STREET NE,412 19TH STREET NE,401952.96,136380.95,38.89527462,-76.97748739,Ward 6,7901,20002,26563,,100,DC Address,
51 GALVESTON PLACE SW,51 GALVESTON PLACE SW,399158.7,128531.57,38.82456587,-77.00968842,Ward 8,9807,20032,145520,,100,DC Address,
19 GALVESTON PLACE SW,19 GALVESTON PLACE SW,399257.58,128536.72,38.82461235,-77.00854973,Ward 8,9807,20032,54686,,100,DC Address,
74 GALVESTON PLACE SW,74 GALVESTON PLACE SW,399062.26,128490.51,38.82419588,-77.01079897,Ward 8,9807,20032,145527,,100,DC Address,
76 GALVESTON PLACE SW,76 GALVESTON PLACE SW,399051.72,128490.76,38.82419812,-77.01092035,Ward 8,9807,20032,145526,,100,DC Address,
22 GALVESTON PLACE SW,22 GALVESTON PLACE SW,399291.96,128501.72,38.82429708,-77.00815377,Ward 8,9807,20032,150309,,100,DC Address,
20 GALVESTON PLACE SW,20 GALVESTON PLACE SW,399301.32,128507,38.82434466,-77.00804598,Ward 8,9807,20032,145521,,100,DC Address,
46 GALVESTON PLACE SW,46 GALVESTON PLACE SW,399183.27,128489.08,38.82418312,-77.00940542,Ward 8,9807,20032,145525,,100,DC Address,
44 GALVESTON PLACE SW,44 GALVESTON PLACE SW,399193.98,128489.47,38.82418665,-77.00928209,Ward 8,9807,20032,145522,,100,DC Address,
56 GALVESTON PLACE SW,56 GALVESTON PLACE SW,399141.61,128490.13,38.82419254,-77.00988518,Ward 8,9807,20032,7686,,100,DC Address,
4729 1ST STREET SW,4729 1ST STREET SW,399496.7,128318.11,38.82264318,-77.00579585,Ward 8,10900,20032,145550,,100,DC Address,
2609 DOUGLASS ROAD SE,2609 DOUGLASS ROAD SE,401038.33,132210.87,38.85771044,-76.98803702,Ward 8,7406,20020,155373,,100,DC Address,
2601 DOUGLASS ROAD SE,2601 DOUGLASS ROAD SE,401078.58,132172.13,38.85736141,-76.98757335,Ward 8,7406,20020,276167,,100,DC Address,
2603 DOUGLASS ROAD SE,2603 DOUGLASS ROAD SE,401054.88,132170.7,38.85734856,-76.98784641,Ward 8,7406,20020,287134,,100,DC Address,
2605 DOUGLASS ROAD SE,2605 DOUGLASS ROAD SE,401036.26,132150.57,38.85716724,-76.98806096,Ward 8,7406,20020,155370,,100,DC Address,
244 60TH STREET NE,244 60TH STREET NE,407341.11,136061.49,38.89236832,-76.91537931,Ward 7,7808,20019,47034,,100,DC Address,
5401 CALL PLACE SE,5401 CALL PLACE SE,406609.44,135082.11,38.88355151,-76.92382266,Ward 7,9905,20019,150987,,100,DC Address,
2410 GOOD HOPE ROAD SE,2410 GOOD HOPE ROAD SE,402430,132794.61,38.86296627,-76.97200103,Ward 8,7605,20020,145450,,100,DC Address,
2400 GOOD HOPE ROAD SE,2400 GOOD HOPE ROAD SE,402390.94,132812.67,38.86312907,-76.97245102,Ward 8,7605,20020,145437,,100,DC Address,
2311 ALTAMONT PLACE SE,2311 ALTAMONT PLACE SE,402404.74,132837.45,38.86335226,-76.97229193,Ward 8,7605,20020,145416,,100,DC Address,
2315 ALTAMONT PLACE SE,2315 ALTAMONT PLACE SE,402418.59,132856.84,38.8635269,-76.97213228,Ward 8,7605,20020,145742,,100,DC Address,
2321 ALTAMONT PLACE SE,2321 ALTAMONT PLACE SE,402436.54,132879.72,38.86373296,-76.97192537,Ward 8,7605,20020,145406,,100,DC Address,
1727 28TH STREET SE,1727 28TH STREET SE,402776.48,133442.18,38.86879883,-76.9680062,Ward 7,7604,20020,145394,,100,DC Address,
4724 BENNING ROAD SE,4724 BENNING ROAD SE,405759.42,135020.42,38.88300176,-76.93362011,Ward 7,9904,20019,17811,,100,DC Address,
4800 C STREET SE,4800 C STREET SE,405730.08,135348.04,38.88595327,-76.93395553,Ward 7,9906,20019,150840,,100,DC Address,
2011 37TH STREET SE,2011 37TH STREET SE,403988.8,132896.87,38.86388179,-76.95403961,Ward 7,7603,20020,145404,,100,DC Address,
2017 37TH STREET SE,2017 37TH STREET SE,404008.82,132857.26,38.86352487,-76.95380917,Ward 7,7603,20020,145743,,100,DC Address,
2015 37TH STREET SE,2015 37TH STREET SE,404010.16,132874.76,38.86368251,-76.95379362,Ward 7,7603,20020,145737,,100,DC Address,
2007 37TH STREET SE,2007 37TH STREET SE,404010.23,132918.91,38.86408023,-76.95379256,Ward 7,7603,20020,145476,,100,DC Address,
2009 37TH STREET SE,2009 37TH STREET SE,403997.46,132909.56,38.86399606,-76.95393976,Ward 7,7603,20020,145486,,100,DC Address,
2109 SUITLAND TERRACE SE,2109 SUITLAND TERRACE SE,404459.21,132857.31,38.86352315,-76.94861964,Ward 7,7603,20020,145748,,100,DC Address,
1816 D STREET NE,1816 D STREET NE,401876.92,136344.26,38.89494427,-76.97836404,Ward 6,7901,20002,55564,,100,DC Address,
1812 D STREET NE,1812 D STREET NE,401866.45,136344.24,38.89494411,-76.97848473,Ward 6,7901,20002,55640,,100,DC Address,
2012 D STREET NE,2012 D STREET NE,402109.41,136349.38,38.89498986,-76.97568402,Ward 7,7903,20002,145700,,100,DC Address,
2013 E STREET NE,2013 E STREET NE,402110.09,136458.06,38.89596889,-76.97567585,Ward 7,7903,20002,52779,,100,DC Address,
400 21ST STREET NE,400 21ST STREET NE,402151,136341.71,38.89492067,-76.97520462,Ward 7,7903,20002,28527,,100,DC Address,
2016 D STREET NE,2016 D STREET NE,402119.85,136348.44,38.89498137,-76.97556368,Ward 7,7903,20002,52623,,100,DC Address,
2000 D STREET NE,2000 D STREET NE,402078.28,136348.25,38.89497976,-76.97604287,Ward 7,7903,20002,53113,,100,DC Address,
3900 D STREET SE,3900 D STREET SE,404516.41,135249.89,38.88507617,-76.94794484,Ward 7,7703,20019,289813,,100,DC Address,
342 37TH STREET SE,342 37TH STREET SE,404193.29,135177.42,38.88442494,-76.95166949,Ward 7,7703,20019,34876,,100,DC Address,
12 GALVESTON STREET SW,12 GALVESTON STREET SW,399429.98,128438.91,38.82373136,-77.00656428,Ward 8,10900,20032,145528,,100,DC Address,
4715 1ST STREET SW,4715 1ST STREET SW,399460.01,128418.65,38.82354887,-77.00621844,Ward 8,10900,20032,145530,,100,DC Address,
4717 1ST STREET SW,4717 1ST STREET SW,399473.89,128401.56,38.82339492,-77.00605859,Ward 8,10900,20032,145498,,100,DC Address,
3866 9TH STREET SE,3866 9TH STREET SE,400747.85,129491.03,38.83320922,-76.99138671,Ward 8,9801,20032,147540,,100,DC Address,
3868 9TH STREET SE,3868 9TH STREET SE,400762.95,129502.95,38.83331658,-76.99121278,Ward 8,9801,20032,147541,,100,DC Address,
3870 9TH STREET SE,3870 9TH STREET SE,400759.55,129458.05,38.83291211,-76.99125199,Ward 8,9801,20032,150774,,100,DC Address,
3872 9TH STREET SE,3872 9TH STREET SE,400774.44,129469.54,38.8330156,-76.99108048,Ward 8,9801,20032,147542,,100,DC Address,
3874 9TH STREET SE,3874 9TH STREET SE,400790.62,129456.35,38.83289677,-76.99089415,Ward 8,9801,20032,147543,,100,DC Address,
3876 9TH STREET SE,3876 9TH STREET SE,400804.66,129439.33,38.83274343,-76.99073246,Ward 8,9801,20032,147544,,100,DC Address,
3878 9TH STREET SE,3878 9TH STREET SE,400793.38,129424.64,38.83261111,-76.99086239,Ward 8,9801,20032,147545,,100,DC Address,
1112 SAVANNAH STREET SE,1112 SAVANNAH STREET SE,400807.71,130589.8,38.84310738,-76.99069598,Ward 8,7304,20032,146661,,100,DC Address,
3070 30TH STREET SE,3070 30TH STREET SE,403149.99,131507.32,38.85136754,-76.96371105,Ward 8,7502,20020,145828,,100,DC Address,
3072 30TH STREET SE,3072 30TH STREET SE,403144.74,131486.3,38.8511782,-76.96377162,Ward 8,7502,20020,145827,,100,DC Address,
3074 30TH STREET SE,3074 30TH STREET SE,403163.88,131471.1,38.8510412,-76.9635512,Ward 8,7502,20020,145826,,100,DC Address,
3101 NAYLOR ROAD SE,3101 NAYLOR ROAD SE,403107.14,131685.81,38.8529756,-76.96420389,Ward 8,7502,20020,278322,,100,DC Address,
3103 NAYLOR ROAD SE,3103 NAYLOR ROAD SE,403122.81,131665.21,38.85278997,-76.96402345,Ward 8,7502,20020,278324,,100,DC Address,
2103 SUITLAND TERRACE SE,2103 SUITLAND TERRACE SE,404496.1,132815.79,38.86314894,-76.94819485,Ward 7,7603,20020,145438,,100,DC Address,
1700 W STREET SE,1700 W STREET SE,401720.19,132835.92,38.86333975,-76.9801795,Ward 8,7504,20020,58019,,100,DC Address,
1712 W STREET SE,1712 W STREET SE,401742.25,132817.43,38.86317314,-76.97992537,Ward 8,7504,20020,57543,,100,DC Address,
2317 16TH STREET SE,2317 16TH STREET SE,401476.98,132715.18,38.86225285,-76.98298209,Ward 8,7503,20020,286853,,100,DC Address,
2333 16TH STREET SE,2333 16TH STREET SE,401472.24,132686.58,38.86199522,-76.98303677,Ward 8,7503,20020,286916,,100,DC Address,
2351 16TH STREET SE,2351 16TH STREET SE,401468.47,132650.6,38.8616711,-76.98308029,Ward 8,7503,20020,286953,,100,DC Address,
2500 HURSTON LANE NE,2500 HURSTON LANE NE,404144.56,139411.24,38.92256457,-76.95220559,Ward 5,9000,20018,309542,,100,DC Address,
3430 MINNESOTA AVENUE SE,3430 MINNESOTA AVENUE SE,403767.52,135278.01,38.88533302,-76.95657623,Ward 7,7708,20019,34650,,100,DC Address,
3423 MINNESOTA AVENUE SE,3423 MINNESOTA AVENUE SE,403758.79,135154.91,38.88422412,-76.95667752,Ward 7,7703,20019,287881,,100,DC Address,
3001 NELSON PLACE SE,3001 NELSON PLACE SE,403080.7,134148.59,38.87516144,-76.96449746,Ward 7,9901,20019,146447,,100,DC Address,
3935 S STREET SE,3935 S STREET SE,404458.2,133051.44,38.86527196,-76.94863002,Ward 7,9902,20020,150780,,100,DC Address,
3937 S STREET SE,3937 S STREET SE,404474.81,133043.07,38.86519648,-76.94843868,Ward 7,9902,20020,146871,,100,DC Address,
3911 PENNSYLVANIA AVENUE SE,3911 PENNSYLVANIA AVENUE SE,404405.63,132960.49,38.86445291,-76.94923634,Ward 7,7603,20020,145308,,100,DC Address,
3921 PENNSYLVANIA AVENUE SE,3921 PENNSYLVANIA AVENUE SE,404424.26,132917.68,38.86406717,-76.94902195,Ward 7,7603,20020,145477,,100,DC Address,
3925 PENNSYLVANIA AVENUE SE,3925 PENNSYLVANIA AVENUE SE,404446.92,132905.79,38.86395994,-76.94876093,Ward 7,7603,20020,145484,,100,DC Address,
1920 NAYLOR ROAD SE,1920 NAYLOR ROAD SE,402001.48,133911.63,38.87302993,-76.97693527,Ward 8,7601,20020,145399,,100,DC Address,
1501 27TH STREET SE,1501 27TH STREET SE,402672.39,133811.63,38.8721273,-76.96920421,Ward 7,7604,20020,62584,,100,DC Address,
2101 FORT DAVIS STREET SE,2101 FORT DAVIS STREET SE,404286.92,132917.72,38.86406821,-76.95060444,Ward 7,7603,20020,145479,,100,DC Address,
2100 38TH STREET SE,2100 38TH STREET SE,404164.94,132917.82,38.8640697,-76.95200994,Ward 7,7603,20020,145478,,100,DC Address,
2115 FORT DAVIS STREET SE,2115 FORT DAVIS STREET SE,404287.26,132851.82,38.86347455,-76.95060093,Ward 7,7603,20020,145744,,100,DC Address,
2117 FORT DAVIS STREET SE,2117 FORT DAVIS STREET SE,404287.03,132843.07,38.86339573,-76.95060364,Ward 7,7603,20020,145810,,100,DC Address,
2001 FORT DAVIS STREET SE,2001 FORT DAVIS STREET SE,404312.71,132994.43,38.86475912,-76.95030679,Ward 7,7603,20020,145297,,100,DC Address,
2003 FORT DAVIS STREET SE,2003 FORT DAVIS STREET SE,404298.16,132969.35,38.86453326,-76.9504746,Ward 7,7603,20020,145460,,100,DC Address,
3826 V STREET SE,3826 V STREET SE,404291.44,132960.45,38.86445312,-76.95055209,Ward 7,7603,20020,289206,,100,DC Address,
3861 PENNSYLVANIA AVENUE SE,3861 PENNSYLVANIA AVENUE SE,404312.97,133008.94,38.86488983,-76.95030371,Ward 7,7603,20020,150772,,100,DC Address,
2829 GAINESVILLE STREET SE,2829 GAINESVILLE STREET SE,402791.4,131906.35,38.85496338,-76.96784051,Ward 8,7502,20020,150543,,100,DC Address,
2835 GAINESVILLE STREET SE,2835 GAINESVILLE STREET SE,402824.73,131904.47,38.85494634,-76.96745652,Ward 8,7502,20020,289471,,100,DC Address,
2841 GAINESVILLE STREET SE,2841 GAINESVILLE STREET SE,402858.56,131900.89,38.85491398,-76.96706678,Ward 8,7502,20020,150547,,100,DC Address,
2301 GREEN STREET SE,2301 GREEN STREET SE,401562.85,132746.23,38.86253242,-76.98199262,Ward 8,7504,20020,48988,,100,DC Address,
2305 GREEN STREET SE,2305 GREEN STREET SE,401559.68,132736.3,38.86244297,-76.98202917,Ward 8,7504,20020,48821,,100,DC Address,
3820 SOUTHERN AVENUE SE,3820 SOUTHERN AVENUE SE,404386.42,132673.95,38.86187174,-76.94945952,Ward 7,7603,20020,145295,,100,DC Address,
2145 SUITLAND TERRACE SE,2145 SUITLAND TERRACE SE,404384.99,132685.42,38.86197507,-76.94947592,Ward 7,7603,20020,145294,,100,DC Address,
2143 SUITLAND TERRACE SE,2143 SUITLAND TERRACE SE,404374.21,132694.12,38.8620535,-76.94960007,Ward 7,7603,20020,145286,,100,DC Address,
2141 SUITLAND TERRACE SE,2141 SUITLAND TERRACE SE,404365.68,132704.82,38.86214993,-76.94969829,Ward 7,7603,20020,145285,,100,DC Address,
2139 SUITLAND TERRACE SE,2139 SUITLAND TERRACE SE,404326.27,132707.03,38.86217003,-76.95015236,Ward 7,7603,20020,145284,,100,DC Address,
2133 SUITLAND TERRACE SE,2133 SUITLAND TERRACE SE,404318.17,132736.42,38.86243483,-76.9502455,Ward 7,7603,20020,145844,,100,DC Address,
2131 SUITLAND TERRACE SE,2131 SUITLAND TERRACE SE,404323.79,132742.22,38.86248705,-76.95018071,Ward 7,7603,20020,146415,,100,DC Address,
2127 SUITLAND TERRACE SE,2127 SUITLAND TERRACE SE,404354.56,132765.81,38.86269941,-76.94982603,Ward 7,7603,20020,146406,,100,DC Address,
2125 SUITLAND TERRACE SE,2125 SUITLAND TERRACE SE,404363.16,132776.55,38.86279612,-76.94972687,Ward 7,7603,20020,145269,,100,DC Address,
2123 SUITLAND TERRACE SE,2123 SUITLAND TERRACE SE,404373.87,132785.32,38.86287507,-76.94960341,Ward 7,7603,20020,145455,,100,DC Address,
2121 SUITLAND TERRACE SE,2121 SUITLAND TERRACE SE,404375.56,132796.62,38.86297685,-76.94958386,Ward 7,7603,20020,145452,,100,DC Address,
1214 STAPLES STREET NE,1214 STAPLES STREET NE,401285.99,137170.31,38.90238668,-76.98517436,Ward 5,8802,20002,71425,,100,DC Address,
1123 STAPLES STREET NE,1123 STAPLES STREET NE,401281.02,137085.26,38.90162053,-76.98523182,Ward 5,8802,20002,73353,,100,DC Address,
2114 38TH STREET SE,2114 38TH STREET SE,404165.52,132851.89,38.86347577,-76.95200365,Ward 7,7603,20020,145814,,100,DC Address,
2108 38TH STREET SE,2108 38TH STREET SE,404200.75,132873.64,38.86367153,-76.95159759,Ward 7,7603,20020,145738,,100,DC Address,
2102 38TH STREET SE,2102 38TH STREET SE,404164.69,132894.91,38.86386331,-76.95201296,Ward 7,7603,20020,145811,,100,DC Address,
3818 W STREET SE,3818 W STREET SE,404265.4,132823.49,38.86321945,-76.95085298,Ward 7,7603,20020,145432,,100,DC Address,
3816 W STREET SE,3816 W STREET SE,404255.77,132823.29,38.8632177,-76.95096394,Ward 7,7603,20020,145817,,100,DC Address,
3812 W STREET SE,3812 W STREET SE,404239.24,132835.68,38.86332939,-76.95115433,Ward 7,7603,20020,145420,,100,DC Address,
3810 W STREET SE,3810 W STREET SE,404226.54,132844.93,38.86341278,-76.95130061,Ward 7,7603,20020,145415,,100,DC Address,
3808 W STREET SE,3808 W STREET SE,404213.68,132837.03,38.86334167,-76.95144883,Ward 7,7603,20020,145419,,100,DC Address,
4810 QUARLES STREET NE,4810 QUARLES STREET NE,405913.82,137904.07,38.9089777,-76.93181576,Ward 7,7806,20019,17377,,100,DC Address,
4929 FOOTE STREET NE,4929 FOOTE STREET NE,406060.38,136562.86,38.89689461,-76.93013781,Ward 7,7804,20019,15920,,100,DC Address,
4915 NANNIE HELEN BURROUGHS AVENUE NE,4915 NANNIE HELEN BURROUGHS AVENUE NE,405998.85,136699.8,38.89812863,-76.93084591,Ward 7,7804,20019,288317,,100,DC Address,
940 EASTERN AVENUE NE,940 EASTERN AVENUE NE,406668.94,137234.16,38.90293751,-76.923116,Ward 7,7807,20019,82847,,100,DC Address,
944 EASTERN AVENUE NE,944 EASTERN AVENUE NE,406697.38,137245.47,38.90303918,-76.92278801,Ward 7,7807,20019,82858,,100,DC Address,
50 49TH STREET SE,50 49TH STREET SE,405889.34,135628.87,38.88848204,-76.93211751,Ward 7,9904,20019,15597,,100,DC Address,
4932 A STREET SE,4932 A STREET SE,406027.95,135615.79,38.88836327,-76.93051996,Ward 7,9904,20019,289207,,100,DC Address,
4940 A STREET SE,4940 A STREET SE,406050.7,135611.31,38.88832276,-76.93025777,Ward 7,9904,20019,299815,,100,DC Address,
301 50TH STREET SE,301 50TH STREET SE,405999.8,135264.65,38.88519993,-76.93084749,Ward 7,9904,20019,42171,,100,DC Address,
303 50TH STREET SE,303 50TH STREET SE,405998.29,135259.17,38.88515058,-76.93086494,Ward 7,9904,20019,304638,,100,DC Address,
1111 ORREN STREET NE,1111 ORREN STREET NE,401193.37,137057.74,38.90137241,-76.98624234,Ward 5,8802,20002,313404,,100,DC Address,
1614 ISHERWOOD STREET NE,1614 ISHERWOOD STREET NE,401628.56,136421.91,38.89564426,-76.98122679,Ward 6,7901,20002,59844,,100,DC Address,
1601 ISHERWOOD STREET NE,1601 ISHERWOOD STREET NE,401557.77,136382.47,38.8952891,-76.98204291,Ward 6,7901,20002,60369,,100,DC Address,
1613 ISHERWOOD STREET NE,1613 ISHERWOOD STREET NE,401618.54,136383.27,38.8952962,-76.98134239,Ward 6,7901,20002,59800,,100,DC Address,
2604 SHERIDAN ROAD SE,2604 SHERIDAN ROAD SE,400591.73,132340.57,38.85887925,-76.99318235,Ward 8,7407,20020,308327,,100,DC Address,
2610 SHERIDAN ROAD SE,2610 SHERIDAN ROAD SE,400595.93,132305.88,38.85856674,-76.99313399,Ward 8,7407,20020,308324,,100,DC Address,
2619 DOUGLAS PLACE SE,2619 DOUGLAS PLACE SE,400968.74,132123.07,38.85691958,-76.98883892,Ward 8,7406,20020,277694,,100,DC Address,
2617 DOUGLAS PLACE SE,2617 DOUGLAS PLACE SE,400995,132129.28,38.8569755,-76.98853636,Ward 8,7406,20020,277684,,100,DC Address,
2607 DOUGLASS ROAD SE,2607 DOUGLASS ROAD SE,401059.15,132220.57,38.8577978,-76.98779713,Ward 8,7406,20020,277580,,100,DC Address,
114 DANBURY STREET SW,114 DANBURY STREET SW,399098.07,128869.5,38.82761004,-77.01038708,Ward 8,9807,20032,145760,,100,DC Address,
120 DANBURY STREET SW,120 DANBURY STREET SW,399081.4,128869.65,38.82761138,-77.01057906,Ward 8,9807,20032,145763,,100,DC Address,
121 GALVESTON PLACE SW,121 GALVESTON PLACE SW,399049.5,128533.94,38.82458711,-77.01094598,Ward 8,9807,20032,145519,,100,DC Address,
35 GALVESTON PLACE SW,35 GALVESTON PLACE SW,399208.1,128535.15,38.82459817,-77.00911954,Ward 8,9807,20032,145518,,100,DC Address,
1616 18TH STREET SE,1616 18TH STREET SE,401842.86,133597.23,38.87019803,-76.97876403,Ward 8,7601,20020,59698,,100,DC Address,
1810 MINNESOTA AVENUE SE,1810 MINNESOTA AVENUE SE,401867.82,133558.01,38.86984467,-76.97847651,Ward 8,7601,20020,55798,,100,DC Address,
1609 17TH STREET SE,1609 17TH STREET SE,401647.56,133618.14,38.87038678,-76.98101449,Ward 8,7601,20020,59997,,100,DC Address,
1611 T STREET SE,1611 T STREET SE,401589.19,133251.92,38.86708783,-76.98168796,Ward 8,7605,20020,59938,,100,DC Address,
1700 17TH STREET SE,1700 17TH STREET SE,401691.46,133499.76,38.86932029,-76.98050891,Ward 8,7601,20020,150114,,100,DC Address,
1702 17TH STREET SE,1702 17TH STREET SE,401692,133492.34,38.86925344,-76.9805027,Ward 8,7601,20020,147814,,100,DC Address,
1817 24TH PLACE SE,1817 24TH PLACE SE,402397.75,133311.56,38.86762326,-76.97237082,Ward 8,7605,20020,150154,,100,DC Address,
2008 38TH STREET SE,2008 38TH STREET SE,404175.25,132984.99,38.86467474,-76.95189073,Ward 7,7603,20020,145302,,100,DC Address,
2000 38TH STREET SE,2000 38TH STREET SE,404165.09,133029.21,38.86507314,-76.95200754,Ward 7,7603,20020,145839,,100,DC Address,
2010 37TH STREET SE,2010 37TH STREET SE,404047.19,132923.43,38.86412078,-76.95336667,Ward 7,7603,20020,145931,,100,DC Address,
2012 37TH STREET SE,2012 37TH STREET SE,404047.89,132913.23,38.86402889,-76.95335866,Ward 7,7603,20020,145932,,100,DC Address,
2014 37TH STREET SE,2014 37TH STREET SE,404055.3,132906.74,38.8639704,-76.95327332,Ward 7,7603,20020,145933,,100,DC Address,
2016 37TH STREET SE,2016 37TH STREET SE,404068.57,132906.62,38.86396925,-76.95312042,Ward 7,7603,20020,145467,,100,DC Address,
2020 37TH STREET SE,2020 37TH STREET SE,404056.37,132881.5,38.86374302,-76.95326114,Ward 7,7603,20020,145934,,100,DC Address,
2022 37TH STREET SE,2022 37TH STREET SE,404046.64,132874.55,38.86368045,-76.95337329,Ward 7,7603,20020,145935,,100,DC Address,
2024 37TH STREET SE,2024 37TH STREET SE,404047.1,132864.35,38.86358857,-76.95336805,Ward 7,7603,20020,145936,,100,DC Address,
2026 37TH STREET SE,2026 37TH STREET SE,404047.1,132853.93,38.8634947,-76.95336811,Ward 7,7603,20020,145937,,100,DC Address,
2028 37TH STREET SE,2028 37TH STREET SE,404046.87,132845.12,38.86341534,-76.95337081,Ward 7,7603,20020,145938,,100,DC Address,
